area_type,location,total_sqft,size,bath,balcony,price
Built-up  Area,5th Phase JP Nagar,1150,2,3,3,52.5
Super built-up  Area,Electronic City,1128,2,2,1,63
Super built-up  Area,Omkar Nagar,1000,2,2,1,53
Super built-up  Area,Yelahanka,1035,2,2,1,45
Built-up  Area,Kereguddadahalli,950,2,2,1,32
Super built-up  Area,Bisuvanahalli,1075,3,2,1,36
Super built-up  Area,Whitefield,1040,2,2,1,48.5
Plot  Area,Maragondanahalli,720,2,2,1,45
Super built-up  Area,Lingadheeranahalli,1511,3,3,1,95
Built-up  Area,Silk Board,1300,3,3,1,58
Super built-up  Area,Hoodi,1545,3,3,1,68.75
Built-up  Area,Shampura,375,1,2,0,26
Super built-up  Area,Vidyaranyapura,1062,2,2,3,38
Super built-up  Area,Kada Agrahara,1115,2,2,1,40
Super built-up  Area,JP Nagar,1000,2,2,1,35
Super built-up  Area,Kambipura,883,2,2,1,45
Super built-up  Area,Sarjapur  Road,1195,2,2,1,70
Plot  Area,BHEL Layout,1200,4,3,1,165
Built-up  Area,Medahalli,700,1,1,0,41
Super built-up  Area,Vittasandra,1246,2,2,1,67
Plot  Area,8th Phase JP Nagar,660,4,4,2,90
Plot  Area,Banashankari Stage III,8500,4,4,2,145
Super built-up  Area,Kashi Nagar,1600,4,4,1,80
Super built-up  Area,Haralur Road,2805,4,5,3,154
Super built-up  Area,Begur Road,1584,3,3,1,65
Plot  Area,Sector 7 HSR Layout,3000,4,5,1,275
Built-up  Area,Hosur Road,1175,3,2,2,48
Built-up  Area,"Yemlur, Old Airport Road, ",1595,3,3,2,115
Super built-up  Area,VHBCS Layout,1353,2,2,2,110
Super built-up  Area,Electronic City,1599,3,3,2,125
Super built-up  Area,Whitefield,1150,2,2,1,70
Super built-up  Area,Jakkur,5230,4,6,1,465
Super built-up  Area,KR Puram,1155,2,2,2,42.74
Built-up  Area,Ittamadu,1200,1,2,0,85
Super built-up  Area,Electronic City Phase II,1000,2,2,1,25
Super built-up  Area,Thanisandra,3000,4,4,1,120
Built-up  Area,Rajiv Nagar,1867,3,3,1,160
Super built-up  Area,Ramagondanahalli,1251,2,2,1,47
Super built-up  Area,Gattahalli,1028,2,2,1,45.5
Super built-up  Area,Arekere,1222,2,2,2,45
Super built-up  Area,Bannerghatta Road,1170,3,2,1,66
Super built-up  Area,Hebbal,2400,3,4,1,245
Super built-up  Area,Ramanjaneyanagar,1385,3,2,2,48.48
Super built-up  Area,HSR Layout,1372,2,2,1,68
Super built-up  Area,Magadi Road,1282,3,2,2,49
Super built-up  Area,Mico Layout,5000,9,9,3,210
Built-up  Area,7th Block Jayanagar,3000,5,3,1,528
Super built-up  Area,Kanakpura Road,1135,2,2,1,39.73
Built-up  Area,Whitefield,1768,3,3,2,101
Built-up  Area,Byatarayanapura,1325,3,2,1,90
Super built-up  Area,Electronic City,1599,3,3,2,99
Plot  Area,Whitefield,1500,3,3,1,61.95
Plot  Area,2nd Phase JP Nagar,2610,3,3,0,499
Super built-up  Area,Uttarahalli,1286,2,2,2,63
Built-up  Area,Kammanahalli,2845,5,5,1,140
Super built-up  Area,K G Colony,1600,3,2,1,50
Super built-up  Area,Hennur Road,1275,2,2,0,63.77
Super built-up  Area,Hebbal,3450,3,5,2,260
Super built-up  Area,Munnekollal,1102,2,2,2,53.67
Super built-up  Area,Yelahanka,1350,2,2,2,54
Super built-up  Area,Banashankari,1200,3,2,2,42
Plot  Area,Hosa Road,1300,6,6,0,145
Plot  Area,Herohalli,1800,2,1,1,80
Built-up  Area,Chikkabanavar,950,2,2,1,40
Super built-up  Area,Kanakpura Road,525,1,1,1,27.25
Built-up  Area,Attibele,656,2,2,1,25
Plot  Area,Marathahalli,1780,4,4,3,175
Super built-up  Area,3rd Block Hrbr Layout,1056,2,2,1,80
Super built-up  Area,Bannerghatta Road,595,1,1,1,33.32
Built-up  Area,Ittamadu,1080,2,2,2,50
Super built-up  Area,7th Phase JP Nagar,2225,3,3,1,160
Super built-up  Area,Bommasandra,1126,2,2,1,28.15
Super built-up  Area,Electronics City Phase 1,1490,3,3,1,84
Plot  Area,HRBR Layout,2000,4,4,1,300
Super built-up  Area,Sarjapur  Road,1550,3,3,3,100
Super built-up  Area,Harlur,1600,3,3,2,86
Built-up  Area,Ashwini layout,1160,2,2,1,55
Built-up  Area,Whitefield,4144,4,4,3,315
Super built-up  Area,Sarjapur  Road,2100,3,3,2,125
Super built-up  Area,Vittasandra,1404,2,2,1,69.3
Plot  Area,Sarjapur  Road,2230,4,4,3,225
Super built-up  Area,Marathalli bridge,1544,3,3,1,120
Super built-up  Area,Banashankari Stage III,1305,3,2,1,58.7
Super built-up  Area,Marathahalli,1230,2,2,2,80
Plot  Area,T.C PALYA,1200,2,2,0,65
Super built-up  Area,Harlur,1460,3,3,1,73
Plot  Area,Sarjapur  Road,1287,2,2,1,34.185
Built-up  Area,Gottigere,967,2,2,3,45
Built-up  Area,Byatarayanapura,540,1,1,1,36
Super built-up  Area,Hormavu,715,1,1,2,46
Super built-up  Area,Whitefield,2500,3,3,2,313
Super built-up  Area,Dooravani Nagar,1578,3,3,1,180
Super built-up  Area,Mysore Road,1020,2,2,1,48.95
Super built-up  Area,Jigani,1020,2,2,1,40
Super built-up  Area,Koramangala,1253,2,2,1,102
Super built-up  Area,JCR Layout,1180,2,2,2,42
Super built-up  Area,Nehru Nagar,961,2,2,2,38
Built-up  Area,Kanakapura,1419,3,3,3,75
Super built-up  Area,Harlur,1709,3,3,2,150
Plot  Area,Papareddipalya,1600,2,2,0,115
Super built-up  Area,Venkatapura,416,1,1,1,18.5
Carpet  Area,Sanjay nagar,1100,2,2,2,98
Super built-up  Area,HSR Layout,1430,3,2,1,65
Super built-up  Area,Sneha Colony,1260,2,2,2,45
Built-up  Area,RMV Extension,1630,3,3,2,85
Super built-up  Area,Sarjapur  Road,1249,3,3,2,44.71
Super built-up  Area,Kalena Agrahara,1450,3,2,3,85
Super built-up  Area,Konanakunte,2791,3,3,1,223
Super built-up  Area,Hosapalya,600,1,1,0,90
Built-up  Area,Ashwini layout,834,1,1,1,60
Plot  Area,Doddagubbi,1125,3,4,1,70
Super built-up  Area,Arekere,2060,3,3,2,140
Super built-up  Area,Malleshwaram,12000,7,7,3,2200
Built-up  Area,Gottigere,891,2,2,1,25
Super built-up  Area,Raja Rajeshwari Nagar,1133,2,2,1,49.07
Built-up  Area,Bisuvanahalli,1075,3,2,1,37
Super built-up  Area,Sector 6 HSR Layout,3000,4,5,2,260
Plot  Area,Brookefield,2440,4,5,2,425
Built-up  Area,Vidyaranyapura,1200,2,2,2,55
Super built-up  Area,Thanisandra,1075,2,2,2,45.8
Super built-up  Area,Kaggadasapura,1140,2,2,2,40
Plot  Area,Margondanahalli,940,5,4,2,150
Plot  Area,ITI Layout,2160,6,5,1,250
Super built-up  Area,Raja Rajeshwari Nagar,1090,2,2,1,42
Built-up  Area,R.T. Nagar,1500,4,4,1,70
Super built-up  Area,Whitefield,4104,4,4,2,360
Super built-up  Area,Whitefield,1790,3,3,1,100
Super built-up  Area,Hebbal,1920,3,3,2,134
Built-up  Area,HRBR Layout,1374,2,2,2,95
Carpet  Area,Bannerghatta Road,1445,3,3,2,95
Super built-up  Area,Kanakapura,711,1,1,1,36
Super built-up  Area,Tumkur Road,1500,3,3,3,95
Super built-up  Area,Whitefield,1720,3,3,3,100
Super built-up  Area,Vasanthapura,1400,3,3,2,60
Built-up  Area,Kundalahalli,1030,2,2,2,49
Super built-up  Area,Mysore Road,1200,2,2,1,85
Carpet  Area,Hosahalli,1375,3,3,2,70
Plot  Area,Hegde Nagar,1050,2,1,1,56
Super built-up  Area,Jalahalli,2250,3,3,2,160
Super built-up  Area,Bellandur,1000,2,2,2,50
Super built-up  Area,Jalahalli West,469,1,1,0,25
Super built-up  Area,Marathahalli,3800,4,4,3,250
Super built-up  Area,Kambipura,883,2,2,1,29
Super built-up  Area,GM Palaya,1820,3,2,3,86
Built-up  Area,Singasandra,1440,3,2,3,65
Super built-up  Area,near Ramanashree California resort,3600,6,4,1,160
Built-up  Area,Malleshwaram,2500,4,5,2,325
Super built-up  Area,Mahadevpura,1225,2,2,2,48
Plot  Area,"6th block banashankari 3rd stage, 100 feet ORR",4000,3,3,1,660
Carpet  Area,Chikkalasandra,875,2,2,3,52.8
Super built-up  Area,Jalahalli East,750,1,1,2,40
Super built-up  Area,6th Phase JP Nagar,1180,2,2,3,80
Super built-up  Area,Haralur Road,1194,2,2,2,47
Super built-up  Area,Hennur Road,1500,3,2,2,62
Super built-up  Area,Poornapragna Housing Society Layout,1160,2,2,2,52.2
Built-up  Area,Arekere,4125,9,9,1,265
Super built-up  Area,Hosakerehalli,2378,3,3,1,262
Super built-up  Area,Sarjapur,1128,2,2,1,60
Super built-up  Area,Hebbal,1500,3,3,1,150
Built-up  Area,Huskur,1220,3,2,1,35.23
Super built-up  Area,Sarjapur  Road,1210,2,2,2,58
Super built-up  Area,Kanakpura Road,1100,3,2,1,58
Super built-up  Area,Bommasandra,1200,3,3,2,46
Built-up  Area,Haralur Road,3385,4,5,1,260
Super built-up  Area,Nagondanahalli,1641,3,3,2,66
Super built-up  Area,Horamavu Agara,1200,2,2,1,45
Super built-up  Area,Raja Rajeshwari Nagar,1260,2,2,1,67.39
Super built-up  Area,Mahadevpura,1720,3,3,3,78
Super built-up  Area,Yelahanka,1129,2,2,0,48.13
Super built-up  Area,Yelahanka,1210,2,2,1,45.98
Built-up  Area,Indira Nagar,2200,4,4,2,200
Super built-up  Area,Bisuvanahalli,1075,3,2,1,45
Built-up  Area,Thanisandra,1702,3,3,2,130
Super built-up  Area,Shanthala Nagar,1630,2,2,2,200
Super built-up  Area,Raja Rajeshwari Nagar,1141,2,2,2,38.55
Super built-up  Area,Shantiniketan Layout,2072,3,3,2,108
Super built-up  Area,JP Nagar,5300,5,2,1,375
Built-up  Area,Herohalli,1200,3,2,0,70
Super built-up  Area,Teachers Colony,1350,3,3,0,77
Built-up  Area,Bettahalsoor,4369,4,4,0,445
Super built-up  Area,Srinivasa Nagar,1180,3,2,2,78.34
Built-up  Area,Yelahanka,35000,3,3,3,130
Super built-up  Area,Langford Town,1355,2,2,2,115
Plot  Area,Sulthangunta,600,1,1,0,50
Plot  Area,Hormavu,1200,7,7,1,150
Super built-up  Area,Bannerghatta Road,1640,3,2,1,120
Plot  Area,Byrathi Village,1200,5,5,0,100
Super built-up  Area,Kodichikkanahalli,1190,3,2,2,57
Plot  Area,OMBR Layout,2400,4,4,2,375
Super built-up  Area,Marathahalli,1019,2,2,2,49.85
Super built-up  Area,Ambedkar Colony,1875,3,3,2,165
Super built-up  Area,Akshaya Nagar,1250,3,3,2,40
Plot  Area,Brookefield,1200,3,3,2,140
Super built-up  Area,Whitefield,1140,2,2,1,56
Super built-up  Area,Lingadheeranahalli,1683,3,3,1,109
Super built-up  Area,Kaggadasapura,1515,3,3,1,83.3
Super built-up  Area,Hoodi,2118,4,4,2,111
Built-up  Area,Bannerghatta Road,1380,4,3,0,58
Super built-up  Area,Varthur Road,1083,2,2,2,61.75
Plot  Area,Anjappa Layout,600,2,2,1,55
Built-up  Area,Avalahalli,2300,3,3,3,120
Super built-up  Area,Prakruthi Nagar,1240,2,2,2,60
Super built-up  Area,Surabhi Layout,1750,3,3,1,120
Super built-up  Area,Sadaramangala,1230,2,2,1,43.48
Plot  Area,Anjanapura,1500,3,3,1,139
Super built-up  Area,Abbigere,985,2,2,1,40.39
Plot  Area,Tindlu,1500,3,2,1,87
Built-up  Area,Electronic City,1125,2,2,1,32.49
Built-up  Area,Maruthi Sevanagar,950,2,2,1,44
Super built-up  Area,JP Nagar,5200,5,2,1,548.5
Super built-up  Area,Kothanur,1580,3,3,3,76
Plot  Area,B Narayanapura,1092,3,2,1,98.5
Built-up  Area,Electronic City Phase II,1090,2,2,1,28.34
Built-up  Area,Hennur Road,2264,3,3,1,159
Super built-up  Area,Dommasandra,1033,3,2,2,25.53
Super built-up  Area,Kammasandra,810,2,2,2,24.5
Super built-up  Area,Green Garden Layout,1045,2,2,0,45
Super built-up  Area,Hebbal,1337,2,2,1,82
Super built-up  Area,Chandapura,1200,2,2,2,32
Super built-up  Area,Koramangala,1580,3,3,2,160
Super built-up  Area,Begur Road,1500,3,2,3,54
Super built-up  Area,Whitefield,1640,3,4,2,91
Super built-up  Area,Silver Springs Layout,1570,3,3,2,62
Super built-up  Area,Gubbalala,1470,3,2,2,82
Super built-up  Area,Kengeri,1160,2,2,2,40.61
Built-up  Area,7th Phase JP Nagar,1050,2,2,1,71
Super built-up  Area,Dairy Circle,1855,3,3,1,225
Super built-up  Area,Bannerghatta Road,1460,3,2,1,90
Built-up  Area,Hulimavu,1823,3,3,2,100
Super built-up  Area,Electronic City,1094,2,2,2,42
Super built-up  Area,Budigere,1153,2,2,2,57
Built-up  Area,Hoysalanagar,1325,3,3,1,57
Plot  Area,Parappana Agrahara,1200,4,3,2,85
Built-up  Area,Jakkur,1590,3,2,2,125
Plot  Area,Jeevan bima nagar,1210,5,4,2,160
Plot  Area,Raja Rajeshwari Nagar,1200,4,4,0,220
Super built-up  Area,Narayana Nagar 1st Block,1202,2,2,1,48
Built-up  Area,Haralur Road,1202,2,2,1,53
Super built-up  Area,KSRTC Layout,1200,2,2,3,62.5
Super built-up  Area,Panathur,1688,3,3,1,118
Built-up  Area,Kaval Byrasandra,1020,2,2,1,52
Super built-up  Area,Sarjapur,1185,2,2,2,47
Super built-up  Area,Ramagondanahalli,1235,2,2,1,52.04
Super built-up  Area,Hosakerehalli,3205,4,5,1,500
Super built-up  Area,Banashankari,1077,2,2,2,37.64
Super built-up  Area,Kengeri Satellite Town,1415,3,2,3,66
Super built-up  Area,EPIP Zone,2330,3,3,2,162
Super built-up  Area,Whitefield,805,2,2,2,35
Built-up  Area,P&T Colony,425,1,1,0,20.03
Super built-up  Area,Whitefield,1155,2,2,3,59.95
Super built-up  Area,Cunningham Road,5270,4,4,3,1250
Super built-up  Area,Anekal,656,2,2,1,22
Built-up  Area,New Gurappana Palya,1100,2,2,0,48
Super built-up  Area,Mahadevpura,1150,2,2,3,52
Plot  Area,Chelekare,600,1,1,1,60
Super built-up  Area,Ambedkar Colony,1468,2,2,1,140
Plot  Area,Palanahalli,4300,4,5,2,550
Super built-up  Area,Whitefield,2280,3,4,2,126
Super built-up  Area,Hegde Nagar,1341,2,2,1,97
Super built-up  Area,Jakkur,1279,2,2,1,77
Super built-up  Area,Electronic City Phase II,2225,4,4,0,98.88
Super built-up  Area,Thanisandra,1185,2,2,2,43.51
Super built-up  Area,Vadarpalya,1750,3,3,2,85
Super built-up  Area,Kudlu,1152,2,2,1,53.5
Plot  Area,Shivanagar,1000,5,4,1,160
Super built-up  Area,Hulimavu,1300,2,2,3,36
Plot  Area,Varthur Road,2760,4,4,2,155
Super built-up  Area,5th Phase JP Nagar,1070,2,2,2,39
Super built-up  Area,Uttarahalli,1101,2,2,0,45
Super built-up  Area,V.V Puram,775,2,2,1,55
Super built-up  Area,Yeshwanthpur,667,1,1,1,36.85
Super built-up  Area,Electronic City,1070,2,2,1,55
Built-up  Area,Old Airport Road,1875,3,2,2,110
Super built-up  Area,Kundalahalli,735,2,2,1,57.99
Plot  Area,Sarjapur,4360,5,4,1,90
Super built-up  Area,Koramangala,1750,3,3,2,130
Super built-up  Area,Marathahalli,1215,2,2,1,67
Plot  Area,Sector 3 HSR Layout,600,9,9,3,190
Super built-up  Area,Vishwapriya Layout,820,2,2,1,30
Super built-up  Area,Banashankari Stage VI,1183,2,2,0,59.935
Super built-up  Area,Battarahalli,1779,3,3,2,89.61
Built-up  Area,HMT Layout,1105,2,2,2,58
Built-up  Area,Basavanagara,1000,1,2,1,93
Super built-up  Area,Whitefield,1650,3,3,2,60
Super built-up  Area,Jalahalli,1694,2,2,2,150
Super built-up  Area,Hosakerehalli,2376,3,3,1,203
Super built-up  Area,Cox Town,1975,3,3,3,150
Super built-up  Area,Kammasandra,674,2,2,1,33
Super built-up  Area,Kaggadasapura,1185,2,2,1,41
Super built-up  Area, Thanisandra,445,1,1,0,28
Built-up  Area,Mylasandra,900,6,7,1,76
Super built-up  Area,HSR Layout,1475,3,3,2,75
Super built-up  Area,Gottigere,1618,3,3,3,82.5
Super built-up  Area,Koramangala,1120,2,2,0,65
Super built-up  Area,Marathahalli,2181,4,3,2,152
Plot  Area,Vidyaranyapura,1200,4,4,0,90
Plot  Area,Nagondanahalli,600,6,4,3,65
Super built-up  Area,Bannerghatta Road,1556,3,2,1,59.13
Super built-up  Area,Bannerghatta Road,1179,2,2,1,66.02
Super built-up  Area,Thanisandra,1296,2,2,2,83
Built-up  Area,Kaggadasapura,1275,2,2,2,52
Built-up  Area,Kalasipalya,1875,7,2,2,300
Super built-up  Area,Kathriguppe,1400,3,2,2,77
Super built-up  Area,Gottigere,1222,2,2,1,63
Super built-up  Area,Electronic City,940,2,2,1,41
Super built-up  Area,Thanisandra,1185,2,2,2,42.6
Super built-up  Area,Tumkur Road,1779,3,3,2,112
Super built-up  Area,Begur Road,1615,3,3,2,59.76
Super built-up  Area,JP Nagar,4729,4,2,1,453
Super built-up  Area,Haralur Road,1056,2,2,1,61
Super built-up  Area,7th Phase JP Nagar,1100,2,2,0,46
Built-up  Area,Arekere,920,2,2,1,40
Super built-up  Area,ITI Layout,1602,3,2,0,75
Built-up  Area,Padmanabhanagar,1176,2,2,0,62
Plot  Area,HBR Layout,675,4,3,1,59
Super built-up  Area,Richmond Town,1352,3,3,0,135
Built-up  Area,Kasavanhalli,1717,3,3,3,99
Plot  Area,4 Bedroom Farm House in Bagalur,10961,4,4,1,80
Super built-up  Area,Bhoganhalli,2119,4,4,3,111
Super built-up  Area,Vittasandra,1246,2,2,1,67.3
Super built-up  Area,Anandapura,1141,2,2,1,42.79
Built-up  Area,Hennur Road,1157,2,2,1,84
Super built-up  Area,Chandapura,1025,2,2,2,27.68
Built-up  Area,Yelahanka New Town,650,1,1,2,33
Super built-up  Area,Hebbal,1349,2,2,1,98
Super built-up  Area,Narayanapura,1566,3,3,1,83.3
Super built-up  Area,Sahakara Nagar,2830,4,3,3,195
Built-up  Area,Electronic City,1320,3,2,1,38.13
Super built-up  Area,manyata park,1780,3,3,1,84.83
Super built-up  Area,Varthur,1091,2,2,1,34.9
Super built-up  Area,Rachenahalli,3670,4,4,3,300
Built-up  Area,7th Phase JP Nagar,918,2,2,1,50.49
Super built-up  Area,Yeshwanthpur,1950,4,4,0,130
Super built-up  Area,Panathur,1695,3,3,1,90
Super built-up  Area,Yelahanka,1705,3,3,2,95
Built-up  Area,Kalyan nagar,1375,3,3,2,75
Super built-up  Area,Kanakpura Road,525,1,1,1,30
Built-up  Area,Whitefield,1447,2,2,1,83
Super built-up  Area,Thanisandra,1114,2,2,1,39
Super built-up  Area,7th Phase JP Nagar,1450,3,2,1,100
Super built-up  Area,Belathur,460,2,1,0,15
Built-up  Area,Vasanthapura,1022,2,2,2,40
Built-up  Area,Hebbal,1000,2,2,2,45
Super built-up  Area,Electronic City,1128,2,2,1,68.75
Super built-up  Area,Kanakpura Road,1180,2,2,2,57
Built-up  Area,TC Palaya,1000,6,6,1,69
Plot  Area,Nagarbhavi,1200,2,2,1,150
Super built-up  Area,Sadashiva Nagar,3761,3,3,2,660
Super built-up  Area,Kanakpura Road,1339,2,2,3,75
Super built-up  Area,Yelachenahalli,1400,3,2,3,55
Super built-up  Area,7th Phase JP Nagar,1040,2,2,1,39.52
Super built-up  Area,Kadugodi,1198,2,2,2,58
Plot  Area,Shirdi Sai Layout,1200,4,3,1,95
Super built-up  Area,Sarjapur  Road,1691,3,3,2,113
Super built-up  Area,Bisuvanahalli,1075,3,3,2,36
Super built-up  Area,1st Block Jayanagar,1630,3,3,2,194
Super built-up  Area,8th Phase JP Nagar,1240,3,3,2,43.5
Super built-up  Area,Bannerghatta Road,1126,2,2,0,58.935
Super built-up  Area,Mallasandra,1665,3,3,2,86.58
Built-up  Area,Marathahalli,2489,3,3,1,94
Built-up  Area,Brookefield,1142,2,2,2,70
Super built-up  Area,Kodbisanhalli,1976,3,3,1,184
Plot  Area,Sathya Sai Layout,5500,4,4,1,600
Super built-up  Area,Kothannur,1853,3,3,2,82
Plot  Area,Vijayanagar,600,8,4,1,72
Super built-up  Area,Kasturi Nagar,1567,2,2,2,92
Super built-up  Area,Talaghattapura,1090,2,2,1,27.24
Plot  Area,Raja Rajeshwari Nagar,1200,6,4,2,125
Plot  Area,Indiranagar HAL 2nd Stage,2400,4,4,1,640
Super built-up  Area,Electronics City Phase 1,1175,2,2,2,51.47
Built-up  Area,Subramanyapura,1200,2,2,2,52
Built-up  Area,Kodichikkanahalli,995,2,2,1,41
Super built-up  Area,Magadi Road,884,2,2,1,41.1
Plot  Area,Vishwanatha Nagenahalli,900,5,3,2,80
Built-up  Area,Yeshwanthpur,1170,2,2,2,57
Super built-up  Area,KR Puram,1225,2,2,1,46.55
Super built-up  Area,Electronic City,1342,2,2,1,73.3
Built-up  Area,Uttarahalli,1345,2,2,1,67
Built-up  Area,Kodigehaali,1320,3,3,0,65
Super built-up  Area,Singapura Village,1100,2,2,1,45
Super built-up  Area,Raja Rajeshwari Nagar,1140,2,2,1,49.39
Super built-up  Area,Battarahalli,1300,2,2,1,50
Super built-up  Area,Hosa Road,1652,3,3,2,85
Super built-up  Area,Thigalarapalya,2072,3,4,2,142
Built-up  Area,Arekere,1740,3,2,1,95
Super built-up  Area,Electronic City,1360,3,2,1,71
Super built-up  Area,Hosur Road,1145,3,2,2,60
Built-up  Area,Uttarahalli,1540,3,2,0,40
Super built-up  Area,Sarjapur  Road,1278,2,2,2,95
Super built-up  Area,Electronic City Phase II,630,1,1,1,40
Super built-up  Area,Kanakpura Road,1100,3,3,2,58
Plot  Area,Bendiganahalli,1200,3,3,0,95
Built-up  Area,Hosakerehalli Layout,2500,7,6,2,115
Super built-up  Area,Chandapura,573,1,1,0,15.135
Super built-up  Area,Chandapura,1015,2,2,2,25.88
Built-up  Area,Hosur Road,3300,5,5,2,240
Plot  Area,Basaveshwara Nagar,4500,5,5,1,415
Super built-up  Area,Gunjur,1356,3,2,3,66
Super built-up  Area,Hennagara,823,2,2,1,28
Plot  Area,TC Palaya,1200,3,2,0,66
Built-up  Area,Ramamurthy Nagar,1050,2,2,0,37
Super built-up  Area,Ferrar Nagar,1180,2,2,1,69
Super built-up  Area,Whitefield,1116,2,2,3,51.91
Super built-up  Area,7th Phase JP Nagar,1070,2,2,1,42.79
Super built-up  Area,Varthur,1385,2,2,3,80
Plot  Area,Varthur,1000,1,1,1,70
Built-up  Area,Whitefield,1897,3,3,2,130
Super built-up  Area,Magadi Road,1005,2,2,1,55.78
Super built-up  Area,Green Glen Layout,1575,3,3,2,125
Super built-up  Area,Subramanyapura,975,2,2,1,65
Super built-up  Area,Hennur Road,1904,3,3,2,120
Super built-up  Area,Kengeri Satellite Town,930,1,1,1,30
Super built-up  Area,Kanakpura Road,525,1,1,1,26
Super built-up  Area,BAGUR,686,1,1,1,17
Plot  Area,Electronic City Phase II,2400,2,3,1,150
Plot  Area,8th block Koramangala,1410,2,1,0,233
Built-up  Area,Sarjapur  Road,2238,3,3,1,140
Super built-up  Area,Harlur,1174,2,2,1,69
Built-up  Area,Thubarahalli,3800,4,4,3,239
Super built-up  Area,Whitefield,2225,3,2,1,125
Super built-up  Area,M.G Road,1250,2,2,0,200
Super built-up  Area,Jigani,918,2,2,2,52
Super built-up  Area,Mahadevpura,1250,2,2,3,52
Super built-up  Area,Sarjapur  Road,1800,3,3,1,110
Built-up  Area,Marathahalli,1170,2,2,3,53
Super built-up  Area,Byatarayanapura,1300,1,1,0,200
Built-up  Area,Bannerghatta Road,793,2,2,1,45
Super built-up  Area,Jakkur,1710,3,3,2,107
Super built-up  Area,Kambipura,1082,3,2,1,57.5
Super built-up  Area,Naganathapura,1001,2,2,2,33.03
Built-up  Area,Srinivasa Nagar,1500,4,4,1,180
Super built-up  Area,Yelahanka,1590,3,2,1,54
Super built-up  Area,Basavanagara,2400,3,2,0,80
Super built-up  Area,Horamavu Banaswadi,1554,3,3,2,55
Super built-up  Area,Thanisandra,1185,2,2,0,43.415
Super built-up  Area,Bellandur,4239,5,5,2,423
Built-up  Area,Konanakunte,884,2,1,0,58
Super built-up  Area,Hosa Road,1045,2,2,1,98.89
Super built-up  Area,Marathahalli,1019,2,2,2,49.86
Super built-up  Area,Ambedkar Nagar,1935,3,4,2,130
Super built-up  Area,Uttarahalli,1135,3,2,2,39.73
Super built-up  Area,Lakshminarayana Pura,1680,3,3,2,150
Super built-up  Area,Hebbal,2470,4,5,2,247
Super built-up  Area,1st Phase JP Nagar,2825,4,4,3,250
Super built-up  Area,Hosakerehalli,2480,3,3,1,330
Plot  Area,5th Phase JP Nagar,1260,9,11,1,290
Plot  Area,Ramamurthy Nagar,1800,5,4,3,187
Built-up  Area,Kasavanhalli,1799,3,3,3,90
Super built-up  Area,Whitefield,4820,4,2,1,304
Built-up  Area,Attibele,400,1,1,1,11
Built-up  Area,Kundalahalli,1047,2,2,1,82
Super built-up  Area,Kaverappa Layout,1282,2,2,2,87
Super built-up  Area,NGR Layout,1020,2,2,1,45.9
Plot  Area,Kammanahalli,1080,4,3,1,155
Super built-up  Area,Whitefield,1495,2,2,1,79.5
Built-up  Area,Kasavanhalli,3260,4,4,1,240
Super built-up  Area,Divya Unnathi Layout,1611,3,2,2,64.44
Super built-up  Area,Koramangala,3500,4,5,2,425
Built-up  Area,Vasantha Vallabha Nagar,1500,3,2,2,95
Super built-up  Area,Sahakara Nagar,1500,3,2,2,95
Plot  Area,Yelahanka,3206,4,5,1,270
Super built-up  Area,Uttarahalli,1540,3,3,0,50
Super built-up  Area,Hosa Road,1639,3,3,1,80
Plot  Area,Marathahalli,700,4,4,1,72
